 ID,PARAM,Date,Value,SYM
08FA002,1,12/19/2010,125,
08FA002,1,12/20/2010,112,
08FA002,1,12/21/2010,103,
08FA002,1,12/22/2010,99.4,
08FA002,1,12/23/2010,96.1,
08FA002,1,12/24/2010,112,
08FA002,1,12/25/2010,142,
08FA002,1,12/26/2010,147,
08FA002,1,12/27/2010,146,
08FA002,1,12/28/2010,143,A
08FA002,1,12/29/2010,132,
08FA002,1,12/30/2010,118,
08FA002,1,12/31/2010,109,A
08FA002,1,1/1/2011,99.8,
08FA002,1,1/2/2011,94,
08FA002,1,1/3/2011,87.4,
08FA002,1,1/4/2011,82.1,
08FA002,1,1/5/2011,85.5,
08FA002,1,1/6/2011,94.1,
08FA002,1,1/7/2011,100,
08FA002,1,1/8/2011,98.3,
08FA002,1,1/9/2011,90.8,
08FA002,1,1/10/2011,82.7,
08FA002,1,1/11/2011,76.7,
08FA002,1,1/12/2011,74.9,
08FA002,1,1/13/2011,71.9,
08FA002,1,1/14/2011,71.9,
08FA002,1,1/15/2011,87.7,
08FA002,1,1/16/2011,141,
08FA002,1,1/17/2011,224,
08FA002,1,1/18/2011,239,
08FA002,1,1/19/2011,221,
08FA002,1,1/20/2011,207,
08FA002,1,1/21/2011,201,
08FA002,1,1/22/2011,200,
08FA002,1,1/23/2011,196,
08FA002,1,1/24/2011,233,
08FA002,1,1/25/2011,276,
08FA002,1,1/26/2011,341,
08FA002,1,1/27/2011,448,
08FA002,1,1/28/2011,469,
08FA002,1,1/29/2011,414,
08FA002,1,1/30/2011,350,
08FA002,1,1/31/2011,295,
08FA002,1,2/1/2011,253,
08FA002,1,2/2/2011,228,
08FA002,1,2/3/2011,308,
08FA002,1,2/4/2011,636,
08FA002,1,2/5/2011,688,
08FA002,1,2/6/2011,604,
08FA002,1,2/7/2011,577,
08FA002,1,2/8/2011,487,
08FA002,1,2/9/2011,400,
08FA002,1,2/10/2011,334,
08FA002,1,2/11/2011,286,
08FA002,1,2/12/2011,263,
08FA002,1,2/13/2011,245,
08FA002,1,2/14/2011,226,
08FA002,1,2/15/2011,215,
08FA002,1,2/16/2011,197,
08FA002,1,2/17/2011,178,
08FA002,1,2/18/2011,157,
08FA002,1,2/19/2011,139,
08FA002,1,2/20/2011,128,
08FA002,1,2/21/2011,120,
08FA002,1,2/22/2011,112,
08FA002,1,2/23/2011,101,
08FA002,1,2/24/2011,90.1,
08FA002,1,2/25/2011,82.1,
08FA002,1,2/26/2011,79.6,
08FA002,1,2/27/2011,79.5,
08FA002,1,2/28/2011,75.1,
08FA002,1,3/1/2011,71.5,
08FA002,1,3/2/2011,72.2,
08FA002,1,3/3/2011,70.2,
08FA002,1,3/4/2011,67.7,
08FA002,1,3/5/2011,67.5,
08FA002,1,3/6/2011,64.8,
08FA002,1,3/7/2011,63.3,
08FA002,1,3/8/2011,62.4,
08FA002,1,3/9/2011,62.8,
08FA002,1,3/10/2011,65.5,
08FA002,1,3/11/2011,65.4,
08FA002,1,3/12/2011,68.1,
08FA002,1,3/13/2011,70.5,
08FA002,1,3/14/2011,78.9,
08FA002,1,3/15/2011,90.6,
08FA002,1,3/16/2011,102,
08FA002,1,3/17/2011,104,
08FA002,1,3/18/2011,102,
08FA002,1,3/19/2011,99.7,
08FA002,1,3/20/2011,95.5,
08FA002,1,3/21/2011,89.8,
08FA002,1,3/22/2011,88.4,
08FA002,1,3/23/2011,84,
08FA002,1,3/24/2011,81.7,
08FA002,1,3/25/2011,80.1,
08FA002,1,3/26/2011,80.8,
